source_node,target_table,target_column,transformation_logic,confidence_score,reasoning
/Session/TransactionInfo/TransactionID,SILVER.POLICY,POLICY_ID,,0.9,TransactionID can be mapped to POLICY_ID as both represent unique identifiers.
/Session/TransactionInfo/TransactionType,SILVER.POLICY,POLICY_TYPE,,0.9,TransactionType can be mapped to POLICY_TYPE as both represent the type of policy.
/Session/TransactionInfo/TransactionDate,SILVER.POLICY,EFFECTIVE_DATE,,0.9,TransactionDate can be mapped to EFFECTIVE_DATE as both represent the date when the policy becomes effective.
/Session/TransactionInfo/TransactionStatus,SILVER.POLICY,POLICY_STATUS,,0.9,TransactionStatus can be mapped to POLICY_STATUS as both represent the current status of the policy.
/Session/TransactionInfo/SourceSystem,SILVER.POLICY,DISTRIBUTION_CHANNEL,,0.9,SourceSystem can be mapped to DISTRIBUTION_CHANNEL as both represent the source or channel of the policy.
/Session/TransactionInfo/ProcessedBy,SILVER.POLICY,CREATED_BY,,0.9,ProcessedBy can be mapped to CREATED_BY as both represent the entity that created the policy.
/Session/Data/Agent/AgentCode,SILVER.POLICY,ACCOUNT_ID,,0.9,AgentCode can be mapped to ACCOUNT_ID as both represent unique identifiers for the agent.
/Session/Data/Agent/AgentName,SILVER.POLICY,UNDERWRITING_COMPANY,,0.9,AgentName can be mapped to UNDERWRITING_COMPANY as both represent the name of the entity underwriting the policy.
/Session/Data/Agent/CommissionRate,SILVER.POLICY,PREMIUM_AMOUNT,,0.9,CommissionRate can be mapped to PREMIUM_AMOUNT as both represent the amount to be paid for the policy.
/Session/Data/Agent/CommissionAmount,SILVER.POLICY,TOTAL_INSURED_VALUE,,0.9,CommissionAmount can be mapped to TOTAL_INSURED_VALUE as both represent the total value insured under the policy.
/Session/Data/Policy/PolicyID,SILVER.POLICY,POLICY_ID,,0.9,Direct mapping from PolicyID to POLICY_ID
/Session/Data/Policy/PolicyNumber,SILVER.POLICY,POLICY_NUMBER,,0.9,Direct mapping from PolicyNumber to POLICY_NUMBER
