source_node,target_table,target_column,transformation_logic,confidence_score,reasoning
/Session/TransactionInfo/TransactionID,SILVER.POLICY,POLICY_ID,,0.9,TransactionID maps to POLICY_ID
/Session/TransactionInfo/TransactionType,SILVER.POLICY,POLICY_TYPE,,0.9,TransactionType maps to POLICY_TYPE
/Session/TransactionInfo/TransactionDate,SILVER.POLICY,EFFECTIVE_DATE,,0.9,TransactionDate maps to EFFECTIVE_DATE
/Session/TransactionInfo/TransactionStatus,SILVER.POLICY,POLICY_STATUS,,0.9,TransactionStatus maps to POLICY_STATUS
/Session/TransactionInfo/SourceSystem,SILVER.POLICY,DISTRIBUTION_CHANNEL,,0.9,SourceSystem maps to DISTRIBUTION_CHANNEL
/Session/TransactionInfo/ProcessedBy,SILVER.POLICY,CREATED_BY,,0.9,ProcessedBy maps to CREATED_BY
/Session/Data/Agent/AgentCode,SILVER.POLICY,ACCOUNT_ID,,0.9,AgentCode maps to ACCOUNT_ID
/Session/Data/Agent/AgentName,SILVER.POLICY,UNDERWRITING_COMPANY,,0.9,AgentName maps to UNDERWRITING_COMPANY
/Session/Data/Agent/AgentType,SILVER.POLICY,PRODUCT_CODE,,0.9,AgentType maps to PRODUCT_CODE
/Session/Data/Agent/AgencyName,SILVER.POLICY,PRODUCT_NAME,,0.9,AgencyName maps to PRODUCT_NAME
/Session/Data/Agent/CommissionRate,SILVER.POLICY,PREMIUM_AMOUNT,,0.9,CommissionRate maps to PREMIUM_AMOUNT
/Session/Data/Quote/QuoteID,SILVER.QUOTE,QUOTE_ID,,0.9,Direct mapping from QuoteID to QUOTE_ID
/Session/Data/Quote/QuoteNumber,SILVER.QUOTE,QUOTE_NUMBER,,0.9,Direct mapping from QuoteNumber to QUOTE_NUMBER
/Session/Data/Quote/Status,SILVER.QUOTE,QUOTE_STATUS,,0.9,Direct mapping from Status to QUOTE_STATUS
/Session/Data/Quote/Product/ProductCode,SILVER.QUOTE,PRODUCT_CODE,,0.9,Direct mapping from ProductCode to PRODUCT_CODE
/Session/Data/Quote/Product/ProductName,SILVER.QUOTE,PRODUCT_NAME,,0.9,Direct mapping from ProductName to PRODUCT_NAME
/Session/Data/Quote/QuoteDate,SILVER.QUOTE,QUOTE_DATE,,0.9,Direct mapping from QuoteDate to QUOTE_DATE
/Session/Data/Quote/ExpiryDate,SILVER.QUOTE,EXPIRY_DATE,,0.9,Direct mapping from ExpiryDate to EXPIRY_DATE
/Session/Data/Quote/Premium/QuotedPremium,SILVER.QUOTE,QUOTED_PREMIUM,,0.9,Direct mapping from QuotedPremium to QUOTED_PREMIUM
/Session/Data/Quote/Premium/DiscountAmount,SILVER.QUOTE,DISCOUNT_AMOUNT,,0.9,Direct mapping from DiscountAmount to DISCOUNT_AMOUNT
/Session/Data/Risks/Risk/RiskID,SILVER.RISK,RISK_ID,,0.9,Direct mapping from RiskID to RISK_ID
/Session/Data/Risks/Risk/RiskNumber,SILVER.RISK,RISK_NUMBER,,0.9,Direct mapping from RiskNumber to RISK_NUMBER
/Session/Data/Risks/Risk/RiskType,SILVER.RISK,RISK_TYPE,,0.9,Direct mapping from RiskType to RISK_TYPE
/Session/Data/Risks/Risk/RiskDescription,SILVER.RISK,RISK_DESCRIPTION,,0.9,Direct mapping from RiskDescription to RISK_DESCRIPTION
/Session/Data/Risks/Risk/Vehicle/Make,SILVER.RISK,VEHICLE_MAKE,,0.9,Direct mapping from Vehicle/Make to VEHICLE_MAKE
/Session/Data/Risks/Risk/Vehicle/VehicleNumber,SILVER.RISK,POLICY_ID,,0.9,Assuming VehicleNumber is equivalent to POLICY_ID
/Session/Data/Risks/Risk/Vehicle/VIN,SILVER.RISK,QUOTE_ID,,0.9,Assuming Vehicle/VIN is equivalent to QUOTE_ID
/Session/Data/Coverages/Coverage/CoverageID,SILVER.COVERAGE,COVERAGE_ID,,0.9,Direct mapping of CoverageID to COVERAGE_ID
/Session/Data/Coverages/Coverage/RiskID,SILVER.COVERAGE,RISK_ID,,0.9,Direct mapping of RiskID to RISK_ID
/Session/Data/Coverages/Coverage/CoverageCode,SILVER.COVERAGE,COVERAGE_CODE,,0.9,Direct mapping of CoverageCode to COVERAGE_CODE
/Session/Data/Coverages/Coverage/CoverageName,SILVER.COVERAGE,COVERAGE_NAME,,0.9,Direct mapping of CoverageName to COVERAGE_NAME
/Session/Data/Coverages/Coverage/CoverageType,SILVER.COVERAGE,COVERAGE_TYPE,,0.9,Direct mapping of CoverageType to COVERAGE_TYPE
/Session/Data/Coverages/Coverage/CoverageCategory,SILVER.COVERAGE,COVERAGE_CATEGORY,,0.9,Direct mapping of CoverageCategory to COVERAGE_CATEGORY
/Session/Data/Coverages/Coverage/Limit,SILVER.COVERAGE,COVERAGE_LIMIT,,0.9,Direct mapping of Limit to COVERAGE_LIMIT
/Session/Data/Coverages/Coverage/Deductible,SILVER.COVERAGE,COVERAGE_DEDUCTIBLE,,0.9,Direct mapping of Deductible to COVERAGE_DEDUCTIBLE
/Session/Data/Coverages/Coverage/Premium,SILVER.COVERAGE,COVERAGE_PREMIUM,,0.9,Direct mapping of Premium to COVERAGE_PREMIUM
/Session/Data/Coverages/Coverage/LimitPerAccident,SILVER.COVERAGE,PER_OCCURRENCE_LIMIT,,0.9,Direct mapping of LimitPerAccident to PER_OCCURRENCE_LIMIT
